Fecha,Sector,Poza,Salmuera (cm),Area (m²),Cota Salm. (m),Cota Sal (m),ALT  TOTAL SALM. (cm),Rasante (m),Sal (cm)
03/28/2025,MOP-II,KM-11,27.9,64719.0,2300.928,2300.649,27.9,2300.382,26.7
03/28/2025,MOP-II,KM-12,12.7,65968.0,2300.544,2300.417,12.7,2300.345,7.2
03/28/2025,MOP-II,KM-13,22.4,66761.0,2300.666,2300.442,22.4,2300.372,7.0
03/29/2025,MOP-II,KM-11,21.7,64719.0,2300.866,2300.649,21.7,2300.382,26.7
03/29/2025,MOP-II,KM-12,16.5,65968.0,2300.582,2300.417,16.5,2300.345,7.2
03/29/2025,MOP-II,KM-13,20.5,66761.0,2300.647,2300.442,20.5,2300.372,7.0
03/30/2025,Litio,2-A,15.8,28480.0,2301.129,2300.971,15.8,2300.416,55.5
03/30/2025,Litio,3-A,22.1,64964.0,2300.978,2300.757,22.1,2300.326,43.1
03/30/2025,Litio,PAM-2,36.8,4633.0,2302.185,2301.817,36.8,2300.572,124.5
03/31/2025,Litio,5-A,16.5,64361.0,2300.455,2300.29,16.5,2300.29,0.0
03/31/2025,Litio,6-A,8.92,80841.0,2300.909,2300.804,8.92,2300.26,54.4
03/31/2025,Litio,7-A,19.21,82956.0,2301.189,2300.991,19.21,2300.437,55.4
04/01/2025,Litio,5-A,15.87,64361.0,2300.457,2300.29,15.87,2300.29,0.0
04/01/2025,Litio,6-A,8.92,80841.0,2300.909,2300.804,8.92,2300.26,54.4
04/01/2025,Litio,7-A,20.0,82956.0,2301.194,2300.994,20.0,2300.437,55.7
04/03/2025,Litio,RBS,99.6,5272.0,2301.804,2300.808,110.63,2300.256,55.2
04/03/2025,Litio,RBN,28.3,5359.0,2301.141,2300.858,28.92,2300.464,39.4
04/03/2025,Litio,1-B,17.0,28358.0,2300.997,2300.827,17.0,2300.537,29.0
04/03/2025,Litio,2-B,3.7,27948.0,2301.176,2301.139,3.7,2300.48,65.9
04/03/2025,Litio,3-B,28.72,65620.0,2301.36,2301.001,28.72,2300.564,43.7
04/03/2025,Litio,PAM-4,89.7,4445.0,2301.669,2300.772,89.7,2300.523,24.9
04/03/2025,Litio,PAM-5,30.0,4987.0,2301.107,2300.807,30.0,2300.571,23.6
